time,x,y,z
1701141350276,0.21471083,-0.1997385,0.216753
1701141350314,0.3129382,-0.14820862,0.18722725
1701141350355,0.062500715,-0.33425856,0.20499134
1701141350398,-0.14230192,-0.36296606,0.056468964
1701141350437,0.09480286,-0.23496151,0.14388752
1701141350476,-0.057780027,-0.29514265,0.15261555
1701141350524,-0.11258781,-0.30601835,0.3007574
1701141350565,0.09193921,-0.16135788,0.27638912
1701141350600,0.6755495,0.08300543,0.618845
1701141350642,0.7559686,0.24784899,1.4475698
1701141350679,1.0094137,0.40299797,1.8769264
1701141350732,1.8400779,0.7064471,3.6341124
1701141350763,1.6585476,0.5969,4.1015797
1701141350801,2.0284784,0.2698741,5.578412
1701141350842,1.898536,-0.13075638,5.126832
1701141350882,1.9400573,-0.18638468,4.164992
1701141350926,3.5168104,-0.82618,5.3767395
1701141350963,2.7615287,-2.545876,2.9593987
1701141351005,2.8729386,-4.0466003,1.1613584
1701141351046,0.26113963,-6.9268274,-0.4750309
1701141351092,-2.8176556,-8.908161,-2.6482198
1701141351129,-7.1528344,-12.5207,-4.940515
1701141351165,-19.285019,-25.519678,-10.184055
1701141351207,-26.545977,-45.555885,-4.803115
1701141351253,-9.668318,-61.777485,-2.6881933
1701141351290,27.96334,-47.87426,12.670513
1701141351328,53.573944,-25.298477,12.753312
1701141351368,29.475536,-4.7845078,12.888571
1701141351414,19.608871,2.5414395,3.3848906
1701141351449,15.094727,0.55251324,6.1612062
1701141351491,13.083579,-2.342516,2.9053273
1701141351530,7.3339396,-5.9728847,1.4696722
1701141351571,4.5016623,-7.552491,2.3859353
1701141351621,3.7646933,-9.316995,1.7762618
1701141351652,0.55440426,-10.196351,-0.06748438
1701141351692,0.1633172,-9.65576,0.16543365
1701141351735,-0.83698034,-9.774286,0.54899216
1701141351776,-1.7248203,-8.53626,0.34237123
1701141351814,-1.6162591,-7.341803,0.30937552
1701141351854,-1.5775864,-6.5730963,-0.17902488
1701141351896,-1.5761492,-6.756529,-0.73297703
1701141351936,-4.192334,-7.8146944,-1.198475
1701141351976,-5.793291,-9.868513,-1.6780709
1701141352017,-9.146805,-18.065388,-0.8880068
1701141352060,-34.145542,-41.236965,1.6017592
1701141352100,-15.620123,-76.289536,1.681108
1701141352144,42.510983,-59.153957,14.017945
1701141352181,54.773773,-28.337713,14.839815
1701141352219,31.5177,-3.3051867,6.5597734
1701141352266,20.96099,2.3567145,3.9841576
1701141352299,12.988079,0.8812351,0.98913336
1701141352340,9.655581,-0.72990894,0.9225447
1701141352381,6.9311495,-4.3595805,1.146321
1701141352424,6.51171,-6.1686683,0.9355843
1701141352462,6.045289,-7.8225045,1.5951164
1701141352502,2.7083735,-8.805344,0.356416
1701141352544,1.9727983,-8.707174,0.7561245
1701141352587,0.43206453,-9.464728,0.13410258
1701141352624,-0.19891644,-8.939807,1.0846845
1701141352670,-0.21194887,-8.117395,1.1015649
1701141352708,-0.73206013,-7.283083,-0.17133185
1701141352749,-1.0336492,-6.283177,0.2776058
1701141352787,-1.8620651,-6.1614013,-0.10175059
1701141352827,-2.536015,-6.7062416,-0.83288956
1701141352868,-5.5551023,-9.134472,-1.3390837
1701141352908,-12.306177,-16.054356,-0.80066204
1701141352948,-24.952274,-33.8661,0.43506676
1701141352989,-27.091877,-65.753555,5.8020415
1701141353029,5.2513084,-87.31511,8.269653
1701141353073,66.06875,-57.629726,9.573229
1701141353110,39.73045,-18.625076,10.281754
1701141353150,20.207405,-1.4064445,3.2985272
1701141353194,12.546372,0.8859811,-1.8018439
1701141353280,8.219928,-2.8045945,-0.772658
1701141353281,8.218883,-2.8049424,-0.7685603
1701141353315,7.071061,-4.5046015,0.51387227
1701141353353,5.8883038,-5.488892,2.0333276
1701141353394,5.794876,-6.1367397,0.989136
1701141353437,4.1131916,-7.124422,2.0045388
1701141353475,2.1687527,-8.377593,1.2298307
1701141353517,-0.2795205,-9.029649,0.32427442
1701141353566,-0.933136,-8.59835,1.2704312
1701141353596,-1.3292744,-8.738437,0.29449165
1701141353637,-2.2785053,-7.7769666,0.03861496
1701141353688,-2.0916665,-6.3299255,0.41524374
1701141353725,-2.0425675,-5.679718,-0.5161537
1701141353762,-1.8202983,-5.265406,-0.36523718
1701141353803,-2.140224,-5.465296,-1.4946463
1701141353842,-3.0455623,-6.375111,-1.9214114
1701141353880,-3.8569138,-10.863865,-2.04209
1701141353929,-31.39799,-35.415085,-5.2434053
1701141353962,-45.91696,-93.572655,11.181889
1701141354002,18.974997,-129.07846,32.49243
1701141354049,67.21555,-68.39145,8.839913
1701141354083,41.023407,-17.881313,10.248298
1701141354123,22.193098,-2.3469095,2.6926715
1701141354177,14.542952,0.027231216,-2.4478707
1701141354204,11.382397,-0.60869694,-1.3248277
1701141354245,6.949871,-2.9347482,0.52877736
1701141354292,6.3732014,-4.5768776,1.6239477
1701141354326,7.6446247,-6.3233366,1.7453208
1701141354368,6.7280264,-7.4013104,2.3113194
1701141354408,5.1684217,-8.937032,2.1918478
1701141354448,2.1254702,-10.514774,-0.047412872
1701141354488,1.9837885,-10.431013,1.718713
1701141354532,-0.2797041,-11.38572,1.0497499
1701141354569,-2.3467312,-9.709791,0.30567098
1701141354613,-1.9241393,-7.6370215,0.09744197
1701141354650,-1.8254123,-6.4435782,0.011469439
1701141354694,-1.5973089,-5.8525915,0.20542105
1701141354731,-1.1811831,-5.7823267,-0.37619025
1701141354773,-1.6762371,-6.3847203,-0.6027801
1701141354812,-2.3770463,-7.4187803,-0.7632003
1701141354853,-3.7369719,-9.519326,-1.9017563
1701141354894,-14.858779,-27.794907,-4.978956
1701141354933,-46.42611,-69.472176,4.416237
1701141354974,-16.034294,-115.20743,13.4437895
1701141355018,60.38747,-89.046326,20.266829
1701141355055,55.79418,-42.236683,15.54233
1701141355096,26.715784,-8.585955,16.613148
1701141355138,13.049839,-0.7443409,3.234905
1701141355188,15.61577,-0.099348545,-1.7856843
1701141355218,12.336798,-1.9917092,-1.6333477
1701141355258,9.347043,-5.2478395,1.2442625
1701141355304,6.931505,-8.037489,1.7113893
1701141355339,5.328289,-9.134876,2.5328531
1701141355381,3.4346752,-9.812869,1.7821944
1701141355420,0.7808595,-11.233687,0.9783832
1701141355460,-0.6302209,-10.587753,0.515656
1701141355504,-2.0186684,-10.904625,0.984864
1701141355541,-2.669134,-9.700231,-0.06633288
1701141355583,-2.5207548,-8.391601,0.38941556
1701141355623,-2.637943,-7.2271266,0.2576024
1701141355663,-2.3814802,-6.1004868,-0.68574524
1701141355708,-1.7582033,-5.1357584,-1.1762593
1701141355745,-2.2883215,-4.6957364,-1.3265799
1701141355784,-3.189244,-4.6954675,-1.1653551
1701141355825,-2.4442449,-7.3075113,-1.5854089
1701141355867,-9.090078,-27.47231,-6.6446586
1701141355906,-49.642082,-60.29145,13.615697
1701141355947,-8.050108,-112.54018,14.770237
1701141355991,77.348495,-66.54615,8.412752
1701141356029,48.229053,-24.7879,15.069079
1701141356068,17.079906,-1.351203,4.7391105
1701141356109,13.427868,1.343256,0.93605995
1701141356149,9.660158,0.7573476,-1.0259234
1701141356197,10.381584,-0.34828424,1.1696968
1701141356230,10.700969,-3.882619,2.127475
1701141356271,7.1429577,-5.6202507,3.0042045
1701141356317,5.737919,-6.559042,2.2653866
1701141356352,4.6623554,-7.396922,2.1710937
1701141356393,3.1306677,-9.077565,1.4888322
1701141356433,0.36240244,-10.375673,0.38931048
1701141356478,-0.3899536,-10.045612,1.0513388
1701141356513,-1.1797719,-9.594349,0.86005735
1701141356565,-1.9923165,-8.275573,0.16436827
1701141356596,-1.8747034,-7.045162,-0.03281769
1701141356638,-1.944205,-6.45177,0.23520105
1701141356676,-2.135153,-6.060954,-0.16477191
1701141356722,-2.3328254,-6.084383,-1.2757318
1701141356764,-3.3934162,-6.8709917,-0.8670567
1701141356799,-3.4751904,-9.167059,-0.9143367
1701141356839,-19.338436,-28.863642,-4.0426474
1701141356879,-41.729668,-65.93216,9.006003
1701141356919,3.07963,-96.622635,20.269371
1701141356968,68.49297,-52.2072,11.134882
1701141357000,38.347565,-16.73052,12.400141
1701141357041,16.915565,-0.44756174,4.262231
1701141357082,10.871832,1.9313173,-0.02096212
1701141357121,8.097241,1.624268,-1.9880635
1701141357177,7.0509806,0.5431249,-0.3339758
1701141357213,7.6859236,-1.536443,0.90871596
1701141357243,7.9115868,-3.37263,2.038831
1701141357284,7.8083076,-4.224926,3.1993754
1701141357331,6.426296,-5.1044335,1.8399955
1701141357365,5.2764215,-6.3754187,1.7098408
1701141357407,3.0769196,-8.181133,1.6016706
1701141357450,1.3550234,-9.014124,0.045738697
1701141357486,0.8751273,-8.760604,0.8540896
1701141357526,-0.35160232,-8.999933,0.10147369
1701141357568,-1.6900874,-8.823064,0.13380033
1701141357609,-2.5451877,-8.335854,0.13202655
1701141357648,-2.7328026,-8.550434,-0.40216857
1701141357689,-3.1405003,-9.131922,-1.0134761
1701141357733,-3.433754,-9.874025,-0.9567649
1701141357769,-4.064372,-14.093564,-0.7963111
1701141357811,-30.823538,-34.494045,0.4946208
1701141357850,-31.143257,-82.316025,9.491983
1701141357891,24.360462,-99.92337,23.071974
1701141357936,65.08141,-47.498302,0.7923322
1701141357972,29.559286,-14.479182,5.1601896
1701141358014,18.19784,-2.0162716,4.1657047
1701141358053,11.358673,0.976974,-1.5256128
1701141358094,7.75286,1.253746,-2.4852054
1701141358135,7.9506645,0.51779175,1.5380358
1701141358176,7.324107,-1.8122492,1.7248412
1701141358224,6.8181744,-3.159524,2.0138578
1701141358256,7.4532003,-4.356854,2.646853
1701141358297,7.038666,-6.0877657,2.194252
1701141358343,7.0089273,-7.3182435,1.8864343
1701141358380,4.2829084,-9.363534,0.94909215
1701141358423,1.4373083,-10.067216,1.4428233
1701141358458,0.5846834,-10.217436,0.75633764
1701141358499,-0.77552605,-10.00381,0.14189988
1701141358540,-1.5122702,-9.597833,-0.16498639
1701141358580,-2.0474858,-9.515778,-0.17069149
1701141358620,-2.8415852,-9.340137,-0.010637999
1701141358661,-3.3709493,-9.576354,-0.58348006
1701141358702,-3.4371936,-10.485959,-0.30635858
1701141358747,-11.522632,-20.272964,-3.0600913
1701141358783,-39.45959,-43.073235,4.517269
1701141358824,-19.529692,-75.18947,7.6760273
1701141358863,14.759001,-76.7411,8.183208
1701141358909,52.188908,-43.900623,9.3771925
1701141358945,30.125381,-19.343643,4.6295214
1701141358985,20.65254,-4.790783,6.8679805
1701141359027,17.163565,-0.68770456,-1.6626047
1701141359067,12.539047,-0.029435635,-3.602363
1701141359107,8.236139,-1.191155,-0.2838894
1701141359148,7.1642685,-3.8472242,1.7822351
1701141359188,6.7829685,-6.0751247,2.6137283
1701141359242,6.350169,-7.505191,3.518642
1701141359270,7.3505774,-8.535938,3.2072241
1701141359309,5.9193983,-10.319659,1.2305808
1701141359357,2.0875645,-11.556551,0.73058534
1701141359396,1.524827,-11.062748,0.30062604
1701141359432,-0.3896134,-11.678313,-0.67445934
1701141359471,-1.9929059,-10.557191,-0.23263006
1701141359513,-2.6861296,-9.550687,-0.54836226
1701141359559,-2.9755008,-8.900419,-0.3821593
1701141359593,-2.5148323,-8.895637,-0.60407484
1701141359635,-3.3178604,-9.394797,-0.72188145
1701141359674,-3.8799105,-12.627031,-1.6556044
1701141359715,-17.404541,-26.535498,-0.17222628
1701141359761,-30.166164,-56.72844,4.0319014
1701141359796,-5.5705023,-88.48603,6.3600683
1701141359836,60.967358,-60.513943,13.445464
1701141359881,51.76847,-27.693071,10.774998
1701141359917,23.117558,-3.6913028,4.8429165
1701141359963,15.644969,0.46702027,2.9812062
1701141359998,6.9886246,-0.08771539,-0.81332207
1701141360040,3.8970165,0.25324917,-0.30716896
1701141360079,1.6081424,-1.4096049,0.017876625
1701141360120,1.171268,-2.629555,-1.2308974
1701141360168,-0.68575096,-3.8521237,-0.5955782
1701141360203,-0.37372947,-3.1748881,-1.5879431
1701141360250,-0.40202332,-2.8420618,-2.0724115
1701141360282,0.14283645,-2.0666068,-0.842824
1701141360322,-1.2933309,-1.8430321,-2.0671144
1701141360374,0.8593057,-1.2964039,-0.9002037
1701141360407,-0.34967393,-1.0300007,-1.0500555
1701141360446,0.3771315,-1.0676839,-0.5391674
1701141360486,-0.04594329,-0.89636517,-0.24445534
1701141360525,-0.087005556,-0.924103,-0.44213104
1701141360565,0.17038342,-0.64766216,-0.09867191
1701141360613,-1.0054905,-0.62383366,-2.4309382
1701141360647,1.1438117,-0.45914888,0.7432718
1701141360700,-0.082316786,-0.49491405,-1.440443
